Category,Metric,Value
FRAME,Total_Frames,47052488
FRAME,Raw_Hit_Frames,12329208
FRAME,Headers,12334934
FRAME,Trailers,12334855
FRAME,Fillers,4107922
FRAME,Fake_Trailers_Blocked,0
FRAME,Unknown_Frames,0
EXCLUDE,WP_Boundary_Cuts,519
EXCLUDE,Words_Dropped_At_Start,1
EXCLUDE,Events_Missing_Header,440
EXCLUDE,Orphan_Data_Words,301
EVENT,Total_Complete_Events,12334415
EVENT,Events_Perfect_Hits,12330039
EVENT,Events_Corrupted_BCID,154
EVENT,Events_Hit_Mismatch,165
EVENT,Events_Discarded_By_Jump,4057
EVENT,L1_Counter_Jumps,4057
EVENT,L1_Jump_Avg,1.42642
EVENT,L1_Jump_Std,5.60508
EVENT,Header_Type_Regular,0
EVENT,Header_Type_Random,12330358
EVENT,Header_Type_Counter,0
EVENT,Header_Type_Reserved,0
EVENT,Buffer_Normal,12330358
EVENT,Buffer_HalfFull,0
EVENT,Buffer_Overflow,0
EVENT,Buffer_Full,0
EVENT,CRC_Match,12329989
EVENT,CRC_Mismatch,215
EVENT,CRC_Err_MissingData,164
EVENT,CRC_Err_EA_Fatal,0
EVENT,CRC_Err_MissingData_With_EA,0
EVENT,CRC_Err_SilentFlip,51
EVENT,Events_With_Missing_Hits,165
EVENT,Events_Missing_Hits_And_CRC_Err,164
EVENT,Events_Missing_Hits_But_CRC_OK,1
EVENT,Events_With_EA_Errors,0
EVENT,Events_With_EA_and_CRC_Err,0
HIT,Expected_Total_Hits,12235569
HIT,Valid_Hits,12235577
HIT,Lost_Hits,248
HIT,BCID_Match,12235577
HIT,BCID_Drop,215
HIT,Intra_Match,12235792
HIT,Intra_Drop,0
HIT,BCID_Mismatch_Only,215
HIT,Counter_A_Jumps,12232392
HIT,Counter_A_Lost_Avg,498.379
HIT,Counter_A_Lost_Std,64.5891
HIT,EA_00_Clean,12235792
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,Link_Bandwidth_Mbps,595.9
SYSTEM,Effective_Bandwidth_Mbps,190.998
SYSTEM,Total_HW_Drops,0
SYSTEM,Salvaged_Words,0
SYSTEM,Injected_Words,0
SYSTEM,Fail_Address_Drift,0
SYSTEM,Fail_Word_Order_Slips,1
SYSTEM,RAM_Buffer_Empty_Words,398992608
SYSTEM,RAM_Buffer_Empty_Ratio,67.948
