Category,Metric,Value
FRAME,Total_Frames,47052487
FRAME,Raw_Hit_Frames,12327754
FRAME,Headers,12334919
FRAME,Trailers,12335003
FRAME,Fillers,4109240
FRAME,Fake_Trailers_Blocked,0
FRAME,Unknown_Frames,0
EXCLUDE,WP_Boundary_Cuts,603
EXCLUDE,Words_Dropped_At_Start,3
EXCLUDE,Events_Missing_Header,687
EXCLUDE,Orphan_Data_Words,486
EVENT,Total_Complete_Events,12334316
EVENT,Events_Perfect_Hits,12332004
EVENT,Events_Corrupted_BCID,43
EVENT,Events_Hit_Mismatch,213
EVENT,Events_Discarded_By_Jump,2056
EVENT,L1_Counter_Jumps,2057
EVENT,L1_Jump_Avg,1.76714
EVENT,L1_Jump_Std,6.95913
EVENT,Header_Type_Regular,0
EVENT,Header_Type_Random,12332260
EVENT,Header_Type_Counter,0
EVENT,Header_Type_Reserved,0
EVENT,Buffer_Normal,12332260
EVENT,Buffer_HalfFull,0
EVENT,Buffer_Overflow,0
EVENT,Buffer_Full,0
EVENT,CRC_Match,12331996
EVENT,CRC_Mismatch,221
EVENT,CRC_Err_MissingData,211
EVENT,CRC_Err_EA_Fatal,0
EVENT,CRC_Err_MissingData_With_EA,0
EVENT,CRC_Err_SilentFlip,10
EVENT,Events_With_Missing_Hits,213
EVENT,Events_Missing_Hits_And_CRC_Err,211
EVENT,Events_Missing_Hits_But_CRC_OK,2
EVENT,Events_With_EA_Errors,0
EVENT,Events_With_EA_and_CRC_Err,0
HIT,Expected_Total_Hits,12294308
HIT,Valid_Hits,12294102
HIT,Lost_Hits,273
HIT,BCID_Match,12294102
HIT,BCID_Drop,71
HIT,Intra_Match,12294173
HIT,Intra_Drop,0
HIT,BCID_Mismatch_Only,71
HIT,Counter_A_Jumps,12290856
HIT,Counter_A_Lost_Avg,498.372
HIT,Counter_A_Lost_Std,64.6211
HIT,EA_00_Clean,12294173
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,Link_Bandwidth_Mbps,595.9
SYSTEM,Effective_Bandwidth_Mbps,190.998
SYSTEM,Total_HW_Drops,0
SYSTEM,Salvaged_Words,0
SYSTEM,Injected_Words,0
SYSTEM,Fail_Address_Drift,0
SYSTEM,Fail_Word_Order_Slips,1
SYSTEM,RAM_Buffer_Empty_Words,398992608
SYSTEM,RAM_Buffer_Empty_Ratio,67.948
